[rosmaster.main][INFO] 2019-12-31 09:39:55,830: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 09:39:55,830: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 09:39:55,831: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 09:39:55,831: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 09:39:55,831: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 09:39:55,831: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 09:39:55,891: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:55,893: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42729] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:55,987: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:55,987: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:55,987: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:55,987: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:55,987: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:55,987: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:55,987: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:55,987: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:55,987: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:55,987: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:55,988: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:55,988: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:39:55,989: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33477/
[rosmaster.master][INFO] 2019-12-31 09:39:55,990: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33477/
[rosmaster.master][INFO] 2019-12-31 09:39:55,991: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33477/
[rosmaster.master][INFO] 2019-12-31 09:39:55,994: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33477/
[rosmaster.master][INFO] 2019-12-31 09:39:56,013: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46331/
[rosmaster.master][INFO] 2019-12-31 09:39:56,015: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46331/
[rosmaster.master][INFO] 2019-12-31 09:39:56,016: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46331/
[rosmaster.master][INFO] 2019-12-31 09:39:56,018: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37605/
[rosmaster.master][INFO] 2019-12-31 09:39:56,019: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37605/
[rosmaster.master][INFO] 2019-12-31 09:39:56,020: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37605/
[rosmaster.master][INFO] 2019-12-31 09:39:56,028: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40189/
[rosmaster.master][INFO] 2019-12-31 09:39:56,028: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40189/
[rosmaster.master][INFO] 2019-12-31 09:39:56,029: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40189/
[rosmaster.master][INFO] 2019-12-31 09:39:56,030: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33477/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46331/']
[rosmaster.master][INFO] 2019-12-31 09:39:56,032: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33477/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46331/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:39:56,032: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33477/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46331/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37605/']
[rosmaster.master][INFO] 2019-12-31 09:39:56,032: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33477/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46331/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37605/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:39:56,033: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33477/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46331/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37605/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40189/']
[rosmaster.master][INFO] 2019-12-31 09:39:56,033: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33477/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46331/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37605/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40189/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:39:56,037: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44277/
[rosmaster.master][INFO] 2019-12-31 09:39:56,038: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44277/
