[rosmaster.main][INFO] 2020-01-30 20:02:35,991: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-30 20:02:35,991: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-30 20:02:35,991: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-30 20:02:35,992: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-30 20:02:35,992: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-30 20:02:35,992: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-30 20:02:36,050: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:36,052: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34083] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:36,147: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:36,148: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:36,148: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:36,148: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:36,148: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:36,148: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:36,148: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:36,148: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:36,148: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:36,148: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:36,149: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:36,149: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 20:02:36,150: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39623/
[rosmaster.master][INFO] 2020-01-30 20:02:36,150: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39623/
[rosmaster.master][INFO] 2020-01-30 20:02:36,151: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39623/
[rosmaster.master][INFO] 2020-01-30 20:02:36,154: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39623/
[rosmaster.master][INFO] 2020-01-30 20:02:36,172: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:32777/
[rosmaster.master][INFO] 2020-01-30 20:02:36,173: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:32777/
[rosmaster.master][INFO] 2020-01-30 20:02:36,174: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:32777/
[rosmaster.master][INFO] 2020-01-30 20:02:36,180: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45739/
[rosmaster.master][INFO] 2020-01-30 20:02:36,181: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45739/
[rosmaster.master][INFO] 2020-01-30 20:02:36,182: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45739/
[rosmaster.master][INFO] 2020-01-30 20:02:36,189: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33725/
[rosmaster.master][INFO] 2020-01-30 20:02:36,189: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33725/
[rosmaster.master][INFO] 2020-01-30 20:02:36,190: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33725/
[rosmaster.master][INFO] 2020-01-30 20:02:36,191: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39623/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:32777/']
[rosmaster.master][INFO] 2020-01-30 20:02:36,193: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39623/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:32777/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 20:02:36,193: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39623/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:32777/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45739/']
[rosmaster.master][INFO] 2020-01-30 20:02:36,193: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39623/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:32777/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45739/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 20:02:36,193: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39623/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:32777/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45739/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33725/']
[rosmaster.master][INFO] 2020-01-30 20:02:36,194: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39623/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:32777/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45739/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33725/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 20:02:36,203: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45267/
[rosmaster.master][INFO] 2020-01-30 20:02:36,204: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45267/
[rosmaster.master][INFO] 2020-01-30 20:02:36,206: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45267/
[rosmaster.master][INFO] 2020-01-30 20:02:36,218: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:32777/
[rosmaster.master][INFO] 2020-01-30 20:02:36,219: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:32777/
[rosmaster.master][INFO] 2020-01-30 20:02:36,219: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:32777/
[rosmaster.master][INFO] 2020-01-30 20:02:36,220: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:32777/
[rosmaster.master][INFO] 2020-01-30 20:02:36,221: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45739/
[rosmaster.master][INFO] 2020-01-30 20:02:36,222: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45739/
[rosmaster.master][INFO] 2020-01-30 20:02:36,223: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45739/
[rosmaster.master][INFO] 2020-01-30 20:02:36,225: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 20:02:36,226: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
