[rosmaster.main][INFO] 2019-11-14 20:19:27,635: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-11-14 20:19:27,635: Starting ROS Master Node
[xmlrpc][INFO] 2019-11-14 20:19:27,635: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-11-14 20:19:27,636: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-11-14 20:19:27,636: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-11-14 20:19:27,636: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-11-14 20:19:27,701: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 20:19:27,703: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39699] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 20:19:27,800: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 20:19:27,800: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 20:19:27,804: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37517/
[rosmaster.master][INFO] 2019-11-14 20:19:27,805: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37517/
[rosmaster.master][INFO] 2019-11-14 20:19:27,806: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37517/
[rosmaster.master][INFO] 2019-11-14 20:19:27,809: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37517/
[rosmaster.master][INFO] 2019-11-14 20:19:37,119: +PUB [/rosout] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:43285/
[rosmaster.master][INFO] 2019-11-14 20:19:37,128: +SERVICE [/drone_control/get_loggers] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:43285/
[rosmaster.master][INFO] 2019-11-14 20:19:37,132: +SERVICE [/drone_control/set_logger_level] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:43285/
[rosmaster.master][INFO] 2019-11-14 20:19:37,135: +PUB [/drone_command] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:43285/
[rosmaster.master][INFO] 2019-11-14 20:19:37,138: +PUB [/alt_error] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:43285/
[rosmaster.master][INFO] 2019-11-14 20:19:37,142: +PUB [/pitch_error] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:43285/
[rosmaster.master][INFO] 2019-11-14 20:19:37,145: +PUB [/roll_error] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:43285/
[rosmaster.master][INFO] 2019-11-14 20:19:37,151: +SUB [/whycon/poses] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:43285/
[rosmaster.master][INFO] 2019-11-14 20:19:37,157: +SUB [/pid_tuning_altitude] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:43285/
[rosmaster.master][INFO] 2019-11-14 20:19:37,163: +SUB [/pid_tuning_pitch] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:43285/
[rosmaster.master][INFO] 2019-11-14 20:19:37,167: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37517/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43285/']
[rosmaster.master][INFO] 2019-11-14 20:19:37,172: +SUB [/pid_tuning_roll] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:43285/
[rosmaster.master][INFO] 2019-11-14 20:19:37,174: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37517/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43285/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2019-11-14 20:19:48,206: -PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37517/
[rosmaster.master][INFO] 2019-11-14 20:19:48,206: -SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37517/
[rosmaster.master][INFO] 2019-11-14 20:19:48,207: -SERVICE [/rosout/get_loggers] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:50505
[rosmaster.master][INFO] 2019-11-14 20:19:48,207: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:50505
[rosmaster.main][INFO] 2019-11-14 20:19:48,257: keyboard interrupt, will exit
[rosmaster.main][INFO] 2019-11-14 20:19:48,257: stopping master...
[rospy.core][INFO] 2019-11-14 20:19:48,257: signal_shutdown [atexit]
